User_Name: Yan,,,,,,,,,,
Start Date: 2024-03-25, ,End Date: 2024-03-28,,,,,,,,
,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g)
2024-03-25,1263,43,14,0,129,2134,172,24.0,24,49
2024-03-26,1864,79,18,1,152,1874,191,33.0,28,82
2024-03-27,1120,25,10,0,164,2860,170,20.0,14,50
2024-03-28,1391,67,29,2,334,3382,101,18.0,10,89
Total,5638,214,71,3,779,10250,634,95.0,76,270
,,,,,,,,,,
,,,,,,,,,,
Date:2024-03-25,,,,,,,,,,
,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g)
Breakfast,281,11,6,0,53,743,29,2.0,0,16
 -Sausage Mc Muffin with egg,281,11,6,0,53,743,29,2.0,0,16
Lunch,798,30,6,0,76,1384,104,3.0,7,27
 -chinese_fried_rice,348,5,1,0,36,774,66,1.0,2,8
 -Tuna,450,25,5,0,40,610,38,2.0,5,19
Dinner,80,2,2,0,0,2,14,0.0,15,4
 -Vegetable,80,2,2,0,0,2,14,0.0,15,4
Snack,104,0,0,0,0,5,25,19.0,2,2
 -blueberries,57,0,0,0,0,1,14,10.0,2,1
 -orange,47,0,0,0,0,4,11,9.0,0,1
Total,1263,43,14,0,129,2134,172,24.0,24,49
% Of my target,70%,6%,No Target,No Target,43%,92%,21%,No Target,96%,13%
,,,,,,,,,,
Date:2024-03-26,,,,,,,,,,
,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g)
Breakfast,212,3,1,0,10,125,34,0.0,14,14
 -Low Fat Milk,110,2,1,0,10,125,14,0.0,14,10
 -whole-wheat-bread,102,1,0,0,0,0,20,0.0,0,4
Lunch,1390,73,16,1,133,1626,111,23.0,12,55
 -Pancakes,250,9,0,0,10,8,28,0.0,7,7
 -sour pork,540,27,5,0,48,608,47,21.0,2,18
 -Tuna Fresh Melt,600,37,11,1,75,1010,36,2.0,3,30
Dinner,0,0,0,0,0,0,0,0,0,0
Snack,262,3,1,0,9,123,46,10.0,2,13
 -strawberry yogurt,160,2,1,0,9,123,26,10.0,2,9
 -whole-wheat-bread,102,1,0,0,0,0,20,0.0,0,4
Total,1864,79,18,1,152,1874,191,33.0,28,82
% Of my target,103%,12%,No Target,No Target,50%,81%,23%,No Target,112%,22%
,,,,,,,,,,
Date:2024-03-27,,,,,,,,,,
,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g)
Breakfast,220,9,4,0,25,255,27,5.0,8,10
 -Bacon,70,6,2,0,15,250,1,0.0,1,5
 -Oatmeal,150,3,2,0,10,5,26,5.0,7,5
Lunch,282,12,5,0,130,642,23,3.0,0,16
 -tacco,282,12,5,0,130,642,23,3.0,0,16
Dinner,356,1,0,0,0,1840,74,2.0,4,11
 -Janpanese noodles,356,1,0,0,0,1840,74,2.0,4,11
Snack,262,3,1,0,9,123,46,10.0,2,13
 -mango yogurt,160,2,1,0,9,123,26,10.0,2,9
 -whole-wheat-bread,102,1,0,0,0,0,20,0.0,0,4
Total,1120,25,10,0,164,2860,170,20.0,14,50
% Of my target,62%,3%,No Target,No Target,54%,124%,20%,No Target,56%,13%
,,,,,,,,,,
Date:2024-03-28,,,,,,,,,,
,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g)
Breakfast,93,6,2,0,15,251,6,0.0,1,6
 -Americano,23,0,0,0,0,1,5,0.0,0,1
 -Bacon,70,6,2,0,15,250,1,0.0,1,5
Lunch,282,12,5,0,130,642,23,3.0,0,16
 -tacco,282,12,5,0,130,642,23,3.0,0,16
Dinner,770,46,20,2,175,2300,32,0.0,7,53
 -Roadside Double Burger,770,46,20,2,175,2300,32,0.0,7,53
Snack,246,3,2,0,14,189,40,15.0,2,14
 -vanilla yogurt,86,1,1,0,5,66,14,5.0,0,5
 -whole milk yogurt,160,2,1,0,9,123,26,10.0,2,9
Total,1391,67,29,2,334,3382,101,18.0,10,89
% Of my target,77%,10%,No Target,No Target,111%,147%,12%,No Target,40%,24%
,,,,,,,,,,
